journal_key,period,semantic_family,n_articles_initial,pct_articles_group_initial,n_articles_group_initial,n_articles_refined,pct_articles_group_refined,n_articles_group_refined,delta_pct_refined_minus_initial,absolute_pct_drop,relative_retention_pct
ijpa,1970-1989,drive_conflict_defense,475,51.9126,915,475.0,51.9126,915.0,0.0,0.0,100.0
ijpa,1970-1989,dream_fantasy_unconscious,369,40.3279,915,249.0,27.2131,915.0,-13.1148,13.1148,67.48
ijpa,1970-1989,ego_self_narcissism,469,51.2568,915,292.0,31.9126,915.0,-19.3442,19.3442,62.26
ijpa,1970-1989,object_relations,392,42.8415,915,287.0,31.3661,915.0,-11.4754,11.4754,73.21
ijpa,1970-1989,kleinian_bionian,46,5.0273,915,46.0,5.0273,915.0,0.0,0.0,100.0
ijpa,1970-1989,winnicottian_environment_holding,189,20.6557,915,31.0,3.388,915.0,-17.2677,17.2677,16.4
ijpa,1970-1989,attachment_development_infant,410,44.8087,915,222.0,24.2623,915.0,-20.5464,20.5464,54.15
ijpa,1970-1989,transference_countertransference,224,24.4809,915,224.0,24.4809,915.0,0.0,0.0,100.0
ijpa,1970-1989,technique_interpretation_process,254,27.7596,915,199.0,21.7486,915.0,-6.011,6.011,78.35
ijpa,1970-1989,relational_intersubjective_field,296,32.3497,915,130.0,14.2077,915.0,-18.142,18.142,43.92
ijpa,1970-1989,trauma_dissociation_affect_regulation,310,33.8798,915,151.0,16.5027,915.0,-17.3771,17.3771,48.71
ijpa,1970-1989,psychosis_borderline_primitive_states,166,18.1421,915,115.0,12.5683,915.0,-5.5738,5.5738,69.28
